code,prereq,excluded
BME352,,"BME205, BME107, ME108, BME209, BME210, BME207"
BME358,,"BME107, ME108, BME209, ME210, BME207"
BME359,,"BME107, ME108, BME209, ME210, BME207"
BPM309,,"QSM201, QSM202, QSM301"
BUS104,,"BUS103, HRM203, BSZ160, CUL201, BUS206"
CHS103,,"CCC201, CLS115, CLS311"
ECO202,,"ECO201, BSZ221, DDZS202"
ELG101,,"AZS1031, ELG103"
ELG217,,"ELG215, ELG205"
ELG362,,"EZS399, ELG353"
ELG364,,"EZS3012, ELG358"
ELG366,,"ELG354, EZS300, EZS3011, EZS3012"
ELT201,,"AZS1032, ELT109"
ENG205,,"MTH107, MTH108, MTH316, MTH319, MTH109, MTH240, ENG315, ENG307"
FIN203,,"FIN205, FIN303, FIN304, FIN302, FIN309"
FIN322,,"ANL101, BUS105, ANL251, ANL252, FIN201, FIN311, FIN312"
FIN323,,"BUS105, ANL251, ANL252, ICT133, FIN353, FIN313"
HBC103,,"SSC109, HBC101, HBC105"
HBC213,,"HBC207, HBC215"
MKT202,,"BMSZ326, MKT201, MKT203"
MKT358,,"MKT357, MKT359, BMSZ323, ASZ338"
MLL281,,"MLL171, MLL181, MLL271"
OST362,,"OST161, OST162"
PSY213,,"DSZ3011, DSZ3012, PSY203"
SOC105,,"DSZ1022, SOC102, SOC203"
SOC259,,"SOC255, SOC209"
SOC307,,"SOC301, SOC305"
SOC309,,"SOC301, SOC305"
SOC319,,"SOC253, SOC361"
SOC365,,"SOC312, DZS3182"
TLL225,,"HBC207, HBC213, HBC215"
ICT330,,ICT321
ICT337,,ICT336
